"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "Markdown", "XML", "Batch", "JSON", "Properties", "Java", "Less", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.cy.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.da.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.de.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.el.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.en-AU.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.en-GB.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.eo.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.es.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.et.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.eu.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.fa.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.fi.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.fo.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
